State,Measures,Year,Values
California,Vehicles,2017,30795141
California,Licensed drivers,2017,26777132
California,Transit Ridership,2010,1403504000
California,Highway Fatalities,2010,2720
California,Highway use of gasoline (thousand gallons),2010,14555037
California,Highway vehicle-miles traveled (millions),2010,322849.3982
California,Vehicles,2010,31014130
California,Licensed drivers,2010,23753441
California,Transit Ridership,2011,1386899775
California,Highway Fatalities,2011,2816
California,Highway use of gasoline (thousand gallons),2011,14276055
California,Highway vehicle-miles traveled (millions),2011,320783.9054
California,Vehicles,2011,29176700
California,Licensed drivers,2011,23856600
California,Transit Ridership,2016,1398152646
California,Highway Fatalities,2016,3837
California,Highway use of gasoline (thousand gallons),2016,14540213
California,Highway vehicle-miles traveled (millions),2016,340115
California,Vehicles,2016,30221033
California,Licensed drivers,2016,26199436
California,Transit Ridership,2012,1418917723
California,Highway Fatalities,2012,2966
California,Highway use of gasoline (thousand gallons),2012,14221198
California,Highway vehicle-miles traveled (millions),2012,326271.6506
California,Vehicles,2012,27702150
California,Licensed drivers,2012,24200997
California,Transit Ridership,2015,1435297360
California,Highway Fatalities,2015,3387
California,Highway use of gasoline (thousand gallons),2015,14188342
California,Highway vehicle-miles traveled (millions),2015,335538.5566
California,Vehicles,2015,29424012
California,Licensed drivers,2015,25532920
California,Transit Ridership,2013,1441811356
California,Highway Fatalities,2013,3107
California,Highway use of gasoline (thousand gallons),2013,14201939
California,Highway vehicle-miles traveled (millions),2013,329534.133
California,Vehicles,2013,28074980
California,Licensed drivers,2013,24390236
California,Transit Ridership,2014,1458600707
California,Highway Fatalities,2014,3102
California,Highway use of gasoline (thousand gallons),2014,14660111
California,Highway vehicle-miles traveled (millions),2014,332857.198
California,Vehicles,2014,28686650
California,Licensed drivers,2014,24813346
Colorado,Transit Ridership,2021,66857905
Colorado,Highway use of gasoline (thousand gallons),2021,2156344
Colorado,Highway vehicle-miles traveled (millions),2021,53839.70626
Colorado,Vehicles,2021,5096394
Colorado,Licensed drivers,2021,4411587
Colorado,Transit Ridership,2020,70052872
Colorado,Highway Fatalities,2020,622
Colorado,Highway use of gasoline (thousand gallons),2020,1921601
Colorado,Highway vehicle-miles traveled (millions),2020,48642.0466
Colorado,Vehicles,2020,5350708
Colorado,Licensed drivers,2020,4299447
Colorado,Transit Ridership,2022,84472959
Colorado,Highway use of gasoline (thousand gallons),2022,2383076
Colorado,Highway vehicle-miles traveled (millions),2022,53935.28656
Colorado,Vehicles,2022,5116858
Colorado,Licensed drivers,2022,4477447
Colorado,Transit Ridership,2018,132727049
Colorado,Highway Fatalities,2018,632
Colorado,Highway use of gasoline (thousand gallons),2018,2210977
Colorado,Highway vehicle-miles traveled (millions),2018,53953.6075
Colorado,Vehicles,2018,5356018
Colorado,Licensed drivers,2018,4244713
Colorado,Transit Ridership,2019,134188182
Colorado,Highway Fatalities,2019,597
Colorado,Highway use of gasoline (thousand gallons),2019,2270649
Colorado,Highway vehicle-miles traveled (millions),2019,54633.55451
Colorado,Vehicles,2019,5412403.746
Colorado,Licensed drivers,2019,4235384
Colorado,Person miles (millions),2017,140264
Colorado,Person trips (millions),2017,13446
Colorado,Persons traveling (thousands),2017,9432
Colorado,Transit Ridership,2017,125463344
Colorado,Highway Fatalities,2017,648
Colorado,Highway use of gasoline (thousand gallons),2017,2196347
Colorado,Highway vehicle-miles traveled (millions),2017,53382.10272
Colorado,Vehicles,2017,5259960
Colorado,Licensed drivers,2017,4156138
Colorado,Transit Ridership,2010,115283153
Colorado,Highway Fatalities,2010,450
Colorado,Highway use of gasoline (thousand gallons),2010,2093404
Colorado,Highway vehicle-miles traveled (millions),2010,46939.92729
Colorado,Vehicles,2010,4180300
Colorado,Licensed drivers,2010,3779273
Colorado,Transit Ridership,2011,116486576
Colorado,Highway Fatalities,2011,447
Colorado,Highway use of gasoline (thousand gallons),2011,2079287
Colorado,Highway vehicle-miles traveled (millions),2011,46606.26373
Colorado,Vehicles,2011,4332250
Colorado,Licensed drivers,2011,3669816
Colorado,Transit Ridership,2016,128900802
Colorado,Highway Fatalities,2016,608
Colorado,Highway use of gasoline (thousand gallons),2016,2217141
Colorado,Highway vehicle-miles traveled (millions),2016,52152
Colorado,Vehicles,2016,5116341
Colorado,Licensed drivers,2016,4066580
Colorado,Transit Ridership,2012,119543243
Colorado,Highway Fatalities,2012,474
Colorado,Highway use of gasoline (thousand gallons),2012,2065165
Colorado,Highway vehicle-miles traveled (millions),2012,46768.77109
Colorado,Vehicles,2012,4561900
Colorado,Licensed drivers,2012,3807673
Colorado,Transit Ridership,2015,125584005
Colorado,Highway Fatalities,2015,547
Colorado,Highway use of gasoline (thousand gallons),2015,2107254
Colorado,Highway vehicle-miles traveled (millions),2015,50437.33835
Colorado,Vehicles,2015,5005172
Colorado,Licensed drivers,2015,3974521
Colorado,Transit Ridership,2013,122927415
Colorado,Highway Fatalities,2013,482
Colorado,Highway use of gasoline (thousand gallons),2013,2095760
Colorado,Highway vehicle-miles traveled (millions),2013,46968.08474
Colorado,Vehicles,2013,4683410
Colorado,Licensed drivers,2013,3837488
Colorado,Transit Ridership,2014,127608954
Colorado,Highway Fatalities,2014,488
Colorado,Highway use of gasoline (thousand gallons),2014,2213924
Colorado,Highway vehicle-miles traveled (millions),2014,48985.14118
Colorado,Vehicles,2014,4820620
Colorado,Licensed drivers,2014,3883362
Connecticut,Transit Ridership,2021,24286149
Connecticut,Highway use of gasoline (thousand gallons),2021,1310187
Connecticut,Highway vehicle-miles traveled (millions),2021,28988.54262
Connecticut,Vehicles,2021,2756485
Connecticut,Licensed drivers,2021,2606396
Connecticut,Transit Ridership,2020,34915008
Connecticut,Highway Fatalities,2020,295
Connecticut,Highway use of gasoline (thousand gallons),2020,1192564
Connecticut,Highway vehicle-miles traveled (millions),2020,29844.93826
Connecticut,Vehicles,2020,2867554
Connecticut,Licensed drivers,2020,2508670
Connecticut,Transit Ridership,2022,27879064
Connecticut,Highway use of gasoline (thousand gallons),2022,1398623
Connecticut,Highway vehicle-miles traveled (millions),2022,29666.31429
Connecticut,Vehicles,2022,2789423
Connecticut,Licensed drivers,2022,2628775
Connecticut,Transit Ridership,2018,41563525
Connecticut,Highway Fatalities,2018,293
Connecticut,Highway use of gasoline (thousand gallons),2018,1442689
Connecticut,Highway vehicle-miles traveled (millions),2018,31595.70533
Connecticut,Vehicles,2018,2879802
Connecticut,Licensed drivers,2018,2605612
Connecticut,Transit Ridership,2019,40502839
Connecticut,Highway Fatalities,2019,249
Connecticut,Highway use of gasoline (thousand gallons),2019,1437444
Connecticut,Highway vehicle-miles traveled (millions),2019,31600.84836
Connecticut,Vehicles,2019,2878547.943
Connecticut,Licensed drivers,2019,2608061
Connecticut,Person miles (millions),2017,63498
Connecticut,Person trips (millions),2017,7208
Connecticut,Persons traveling (thousands),2017,5904
Connecticut,Transit Ridership,2017,42280346
Connecticut,Highway Fatalities,2017,281
Connecticut,Highway use of gasoline (thousand gallons),2017,1434972
Connecticut,Highway vehicle-miles traveled (millions),2017,31500.06154
Connecticut,Vehicles,2017,2826350
Connecticut,Licensed drivers,2017,2586994
Connecticut,Transit Ridership,2010,41830648
Connecticut,Highway Fatalities,2010,320
Connecticut,Highway use of gasoline (thousand gallons),2010,1459754
Connecticut,Highway vehicle-miles traveled (millions),2010,31294.41665
Connecticut,Vehicles,2010,3082010
Connecticut,Licensed drivers,2010,2934576
Connecticut,Transit Ridership,2011,43046215
Connecticut,Highway Fatalities,2011,221
Connecticut,Highway use of gasoline (thousand gallons),2011,1432206
Connecticut,Highway vehicle-miles traveled (millions),2011,31197.24686
Connecticut,Vehicles,2011,2828790
Connecticut,Licensed drivers,2011,2986267
Connecticut,Transit Ridership,2016,45475140
Connecticut,Highway Fatalities,2016,304
Connecticut,Highway use of gasoline (thousand gallons),2016,1441862
Connecticut,Highway vehicle-miles traveled (millions),2016,31639
Connecticut,Vehicles,2016,2841842
Connecticut,Licensed drivers,2016,2611007
Connecticut,Transit Ridership,2012,45307295
Connecticut,Highway Fatalities,2012,264
Connecticut,Highway use of gasoline (thousand gallons),2012,1415334
Connecticut,Highway vehicle-miles traveled (millions),2012,31269.36372
Connecticut,Vehicles,2012,2706460
Connecticut,Licensed drivers,2012,2485708
Connecticut,Transit Ridership,2015,45661439
Connecticut,Highway Fatalities,2015,270
Connecticut,Highway use of gasoline (thousand gallons),2015,1405870
Connecticut,Highway vehicle-miles traveled (millions),2015,31591.79366
Connecticut,Vehicles,2015,2841764
Connecticut,Licensed drivers,2015,2566673
Connecticut,Transit Ridership,2013,45311685
